step;ros_timestamp;ft_wrench_fx;ft_wrench_fy;ft_wrench_fz;ft_wrench_tx;ft_wrench_ty;ft_wrench_tz;current_absolute_pose_x;current_absolute_pose_y;current_absolute_pose_z;current_twist_vx;current_twist_vy;current_twist_vz;current_twist_wx;current_twist_wy;current_twist_wz;action_f_x;action_f_y;action_f_z;action_t_x;action_t_y;action_t_z;reward
1;0,0386;;;0,0032681315;-0,015101117;-0,0004561314;-0,003490059;0,6175758;0,12025117;0,54480624;0,004353704;-0,003980969;-0,0077805817;0,024298064;0,0018129738;-0,0013901589;0,14905156;0,032086264;-0,09863269;-0,0063894354;-0,009848625;0,0040570274;0,0
2;0,0788;-0,0076282956;0,016745072;0,017789807;-0,028754026;-0,012543299;-0,0219085;0,6177387;0,120278455;0,54468596;0,011147323;-0,0009235157;-0,011226929;0,012043852;0,004195405;-0,00064695854;0,15777554;0,047407735;-0,09556612;-0,03122567;-0,19676869;-0,051493496;0,0
3;0,1088;-0,0062895594;-0,020607006;0,0066285515;0,04050596;-0,0072033885;-0,04522774;0,61783457;0,12028418;0,54462856;0,014960172;0,0011956985;-0,012520247;-0,0029345984;;-0,0012927324;0,1604994;0,06274329;-0,090034485;-0,042683385;-0,30994952;-0,06095702;0,0
4;0,1386;-0,013825649;-0,0024583507;;0,005192006;;-0,05242399;0,6179402;0,12032829;0,54454666;0,017781798;0,0035185856;-0,012979167;-0,021586133;-0,004682864;-0,0020410416;0,17735939;0,068855904;-0,08637285;-0,049521703;-0,45222256;-0,088603154;0,0
5;0,1686;0,0067917705;0,007585013;0,003968883;-0,012076093;0,011910115;-0,049982917;0,6181016;0,12037025;0,54440147;0,020459296;0,0055652414;-0,013242056;-0,038640335;-0,010119242;-0,0034352948;0,2306516;0,07878944;-0,081341274;-0,0674975;-0,5208927;-0,11620333;0,0
6;0,2086;0,005208216;0,0041449172;0,013085355;-0,00638115;0,008596539;;0,6183908;0,12042759;0,54420066;0,025345154;0,007800091;-0,012954159;-0,062144358;-0,017784048;-0,006848809;0,2494504;0,09803254;-0,079255044;-0,085311785;-0,68404883;-0,07520209;0,0
7;0,2386;0,00045174416;0,028462598;;-0,04187807;0,0001977525;;0,61862063;0,120447785;0,5440577;0,029025469;0,009761347;-0,012978259;-0,07821489;-0,020124061;-0,007193754;0,25032732;0,095363535;-0,062316205;-0,09194584;-0,74829876;-0,04897758;0,0
8;0,2686;0,00030912712;0,013552996;0,0062548807;-0,020551674;0,0012916968;0,03582251;0,6188665;0,12046788;0,5439564;0,03181607;0,011343631;-0,012556744;-0,090552844;-0,021741174;-0,006913758;0,24637516;0,08986081;-0,0457601;-0,10286347;-0,8250877;-0,030589964;0,0
9;0,2986;-0,01311201;;0,008486384;-0,013085104;-0,01722474;0,031509466;0,61909723;0,1205132;0,54389536;0,033871714;0,012470669;-0,011441281;-0,103392296;-0,022848828;-0,004990064;0,23706785;0,08670807;-0,044010885;-0,102680996;-0,8210735;-0,017868632;0,0
10;0,3286;-0,011085821;0,022747902;-0,0007288241;-0,037671883;-0,016175725;0,030754007;0,6193352;0,12052914;0,543835;0,03503593;0,012934652;-0,01016624;-0,114267424;-0,024868598;-0,0044232598;0,22439268;0,09290744;-0,07212524;-0,10234864;-0,7892518;-0,013298716;0,0
