step;ros_timestamp;ft_wrench_fx;ft_wrench_fy;ft_wrench_fz;ft_wrench_tx;ft_wrench_ty;ft_wrench_tz;current_absolute_pose_x;current_absolute_pose_y;current_absolute_pose_z;current_twist_vx;current_twist_vy;current_twist_vz;current_twist_wx;current_twist_wy;current_twist_wz;action_f_x;action_f_y;action_f_z;action_t_x;action_t_y;action_t_z;reward
1;0,0373;0,009030216;-0,0073265014;0,013962112;0,014996729;;-0,007953713;0,6179795;0,12085859;0,568574;0,0049082455;-0,0054178126;-0,0021548818;-0,016704675;0,024315145;-0,029012445;0,19025274;-0,008368369;-0,22487164;0,037752595;-0,05179589;-0,0017351757;0,0
2;0,0674;0,016816188;-0,009441245;;0,019962681;0,026257364;0,009184843;0,61810976;0,120862916;0,56839186;0,011813313;-0,0046142526;-0,011658129;0,0036187666;0,01593527;-0,02231904;0,20771596;-0,002308136;-0,22861533;0,044247754;-0,072301045;-0,004338479;0,0
3;0,0973;0,00043159304;-0,0041743955;0,018858973;0,0074976203;0,0038261302;0,019686637;0,61825687;0,12084028;0,5682361;0,01752458;-0,00421074;-0,018801669;0,020861438;0,00939387;-0,018626345;0,23242036;0,0034590443;-0,22529912;0,044002872;-0,10219825;-0,007705607;0,0
4;0,1273;0,019783724;-0,010965823;0,013862291;0,023274783;0,036535818;0,019423462;0,61839086;0,12083629;0,5681242;0,022808634;-0,0035197816;-0,024141906;0,034553364;0,005795429;-0,015362918;0,23607288;0,009711415;-0,22394872;0,04394148;-0,10354892;-0,008549774;0,0
5;0,1574;0,026345294;-0,0038026278;0,014200069;0,0105775865;0,043699183;;0,6185608;0,12081411;0,5680002;0,026800279;-0,0027655228;-0,02760174;0,044114396;0,00049388356;-0,013291998;0,22917025;0,01733497;-0,22122712;0,043900214;-0,104456745;0,006201462;0,0
6;0,1873;0,016756404;-0,013936686;0,013337024;0,018033635;0,028658478;-0,015710438;0,6187335;0,12079559;0,5678704;0,02969298;-0,0020085177;-0,030112911;0,05037126;-0,0022540528;-0,012094315;0,220964;0,023454707;-0,22000934;0,04395525;-0,05422629;-0,008360387;0,0
7;0,2173;0,0050869747;-0,025104102;0,01837556;0,04021233;0,0048042764;-0,06507698;0,6189165;0,12079009;0,56776845;0,031460285;-0,0009624858;-0,031658467;0,051832736;-0,004533756;-0,010279677;0,2017197;0,0362468;-0,22437412;0,044164363;-0,025116012;0,020045957;0,0
8;0,2473;0,021615962;-0,049398057;0,13234404;0,0732989;0,027486656;-0,10152238;0,61907023;0,12083196;0,56767696;0,032160256;;-0,03258729;0,049344867;-0,007193446;-0,010120511;0,19805028;0,04022944;-0,22284245;0,044279374;-0,047095574;0,026733568;0,0
9;0,2773;0,024117049;-0,045748048;0,051741935;0,07727422;0,035681143;-0,08593449;0,6192723;0,12082556;0,5675214;0,032863226;0,0012215845;-0,033371996;0,046981316;-0,008404161;-0,008729523;0,1913308;0,041635152;-0,22143674;0,044606138;-0,03990678;0,026120352;0,0
10;0,3073;0,007926641;-0,03286229;0,044069123;0,05254376;;-0,0872893;0,61947805;0,12084158;0,5673298;;0,0021571917;-0,033589527;0,045572765;-0,011361986;-0,008033311;0,19602501;0,05046433;-0,22241148;0,04480228;-0,035591707;0,033923484;0,0
11;0,3374;0,019371105;-0,027762944;0,03928492;0,037942894;0,034620516;-0,079259254;0,61969733;0,12086911;0,56709963;0,03264334;;;0,044965364;-0,012293395;-0,007957942;0,21445014;0,04623594;-0,23154184;0,051758155;-0,0132813845;0,047867436;0,0
12;0,3674;0,027731001;-0,028901407;0,03877543;0,04686555;0,049197678;-0,08370471;0,6199447;0,12084328;0,5668438;;0,003795112;-0,034639765;0,046689093;-0,011672514;-0,0074072853;0,22131307;0,05129261;-0,23138712;0,05629029;0,012896172;0,059122197;0,0
13;0,3973;0,10165165;-0,10229929;0,5118056;0,12227455;0,09331485;;0,6201639;0,120849155;0,5666264;0,034246776;0,0042330115;-0,035303723;0,050021112;-0,01042951;-0,0074025015;0,20567268;0,06486041;-0,23987815;0,06974153;0,014705869;0,06025326;0,0
14;0,4273;0,06111004;-0,084592156;0,23051302;0,1241771;0,07532595;-0,09874011;0,6204508;0,12082068;0,5664582;0,036868446;0,0043887836;-0,035272434;0,055860583;-0,012387724;-0,008324432;0,19421317;0,061792742;-0,25029877;0,0875364;0,014036134;0,059834674;0,0
15;0,4573;0,041996878;-0,021896701;-0,4232092;0,031184683;0,13911036;-0,08205349;0,6206154;0,120857626;0,56628174;0,033732824;0,005248087;-0,035778806;0,06656653;;-0,010330371;0,15177304;0,06877038;-0,3094976;0,09850218;0,1490742;0,047215488;0,0
16;0,4873;0,08943783;0,02166905;-0,89598763;-0,06383012;0,27711883;-0,08391998;0,62055993;0,12088122;0,5661423;0,02132648;0,006656863;-0,040581457;0,081836626;-0,007535489;-0,01904682;0,14380302;0,07601191;-0,32676587;0,08725581;0,19577171;0,0049145035;0,0
17;0,5173;0,096106775;0,007372307;-1,0;-0,017538937;0,35356826;-0,085430615;0,62035453;0,12092799;0,5659057;0,003585466;0,008137374;;0,09156306;0,0019333275;-0,03566967;0,11698247;0,090595186;-0,35630023;0,10030843;0,39306012;0,026095575;0,0
18;0,5473;0,14533204;-0,20414451;-1,0;0,56160975;0,49649906;-0,10727502;0,62002903;0,121011645;0,5656498;-0,015615778;0,009665963;-0,050250214;0,099169485;-0,005399117;-0,05683753;0,10455576;0,1032715;-0,37793764;0,11124916;0,4458475;0,028450442;0,0
19;0,5773;0,15479043;-0,45840925;-1,0;;0,52847415;-0,13133326;0,61964977;0,12109034;0,5654817;-0,03079383;0,01070629;-0,049267452;0,10402518;-0,05462129;-0,078366116;0,10284874;0,10924272;-0,40137818;0,12209685;0,64364713;0,034632407;0,0
20;0,6073;0,054259628;-0,39747453;-0,6540547;1,0;0,2111867;-0,12863317;0,6193948;0,121150255;0,5653364;-0,036548324;0,01174357;-0,044529352;0,10607902;-0,13278222;-0,0864184;0,098504655;0,10915901;-0,4014619;0,124235876;0,6661958;0,043619096;0,0
21;0,6373;-0,026772743;-0,27597263;-0,45310497;0,8196498;-0,0077904603;-0,12090168;0,619309;0,121272355;0,56499183;-0,033678457;0,014021557;-0,04439868;0,11198263;-0,15919949;-0,06971025;0,10558127;0,12601538;-0,43362513;0,12411389;0,78606105;0,057260387;0,0
22;0,6674;-0,0047020116;0,009205993;0,023607593;-0,0056319498;0,0066898954;-0,09495993;0,61933166;0,1213391;0,56451225;-0,023509983;0,01675508;-0,049619578;0,12103739;-0,13322309;-0,043736804;0,1187972;0,12975954;-0,43968493;0,12411925;0,8923882;0,0828652;0,0
23;0,6974;;-0,0038647677;0,028882107;0,010121521;-0,022601234;-0,09461005;0,61939925;0,12141523;0,5639803;-0,011692346;0,018161206;-0,05711645;0,13163002;-0,08422919;-0,029362792;0,14052106;0,12644279;-0,46996245;0,13094197;1,0098083;0,09497824;0,0
24;0,7274;-0,008424974;-0,044423472;0,010505995;0,09650721;0,0007698746;-0,095111;0,61945814;0,121543966;0,5634994;-0,0029467307;0,019124405;;0,14037663;-0,057980254;-0,01866651;0,15035751;0,122640036;-0,47866717;0,1310363;1,0609032;0,1013815;0,0
25;0,7674;-0,004511654;-0,009111353;0,02481348;0,02049141;;;0,6196602;0,1216699;0,5626826;0,006169275;0,019731963;;0,1498422;-0,0310876;-0,008870426;0,14349574;0,11501489;-0,47648838;0,13579379;1,1819078;0,13105349;0,0
26;0,8074;-0,020572253;-0,023713926;0,019112162;0,049856357;-0,018544413;-0,09459163;0,6198358;0,12184159;0,5619221;;;-0,07277323;0,15765361;-0,00963054;-0,0006710203;0,1292461;0,10405899;-0,46783644;0,14281088;1,2545843;0,14583907;0,0
27;0,8474;-0,016692398;-0,01328678;0,022520399;0,02774145;-0,019241821;-0,09210166;0,61998713;0,12203688;0,561202;0,015628798;0,019724527;-0,07530667;0,16573623;0,0032624113;0,0061549023;0,12931938;0,092120185;-0,4724223;0,14309055;1,3342665;0,1752156;0,0
28;0,8874;-0,017798135;-0,024583502;0,027687881;0,051210098;-0,019787053;-0,09304086;0,62009645;0,12220179;0,5605811;0,017457979;0,018822474;;0,17284445;0,011605776;0,011036072;0,14695692;0,09071827;-0,47872618;0,13879392;1,4031394;0,17741145;0,0
29;0,9274;-0,005436696;-0,052294977;0,03197532;0,09792753;-0,000791907;-0,09217918;0,62024003;0,12234472;0,55991316;0,01942006;0,017909082;-0,07813901;0,17631209;0,017138563;0,015070386;0,17284572;0,09060706;-0,48128837;0,14547762;1,4848216;0,18761316;0,0
30;0,9674;-0,023624038;-0,004794691;0,042336557;0,0030884102;-0,030206984;-0,08974553;0,62050205;0,122497745;0,55911696;0,021695005;0,0172642;-0,078828014;0,17930627;0,017852731;0,018124253;0,19938333;0,093320265;-0,4736732;0,13863266;1,5466503;0,18540646;0,0
31;0,9974;-0,035686344;-0,02917463;0,03432481;0,054456994;;-0,09077416;0,6206921;0,122600414;0,55859584;0,02444723;0,017176315;-0,07945571;0,18060143;0,022006324;0,021065697;0,21499076;0,09936058;-0,452927;0,14503607;1,6303359;0,1968603;0,0
32;1,0374;-0,0029401458;-0,017379856;0,013730456;0,030299101;0,00011578383;;0,6209869;0,12274927;0,55783296;0,027960502;0,017134976;-0,07851498;0,18311828;0,022862287;0,022580065;0,19862899;0,09660485;-0,45078078;0,13801984;1,6557177;0,18208668;0,0
33;1,0774;-0,0036117663;-0,06294717;-0,0386151;0,14775592;0,02406889;-0,09090316;0,621271;0,12287124;0,5571493;0,029922452;0,016779725;-0,077764735;0,18371318;0,024669223;0,021224514;0,18428624;0,095556214;-0,4518294;0,13771914;1,7062916;0,18816422;0,0
34;1,1174;0,11179529;-0,26833707;-0,28785834;0,6984371;0,32558298;;0,6213781;0,12297072;0,5566903;0,025904045;0,01562872;-0,074047014;0,17908935;-0,005416575;0,007516518;0,16751386;0,09322405;-0,44680864;0,14420868;1,7346826;0,17527135;0,0
35;1,1474;0,16637258;-0,36377102;-0,5005944;0,9916977;0,50780094;-0,1208749;0,6213766;0,12305786;0,5564054;0,018133597;0,013533498;-0,068981685;0,1754231;-0,05160317;-0,017745893;0,1658796;0,09035393;-0,45212972;0,14416403;1,75821;0,16955112;0,0
36;1,1774;;;-0,66197336;1,0;0,63850594;-0,13323317;0,62128234;0,12310981;0,55621123;0,008361438;0,010992259;-0,06330028;0,17138574;-0,10781785;-0,049515817;0,16797799;0,07946997;-0,45320976;0,13753852;1,7758474;0,1499373;0,0
37;1,2074;0,19267721;-0,48434743;-0,75789493;1,0;0,6311913;-0,13596657;0,6211518;0,12316935;0,5559571;-0,001396402;0,008479697;-0,057903886;0,16497122;-0,16436209;-0,0792234;0,17136127;0,07710894;-0,4555708;0,1331498;1,7855048;0,14576079;0,0
