step;ros_timestamp;ft_wrench_fx;ft_wrench_fy;ft_wrench_fz;ft_wrench_tx;ft_wrench_ty;ft_wrench_tz;current_absolute_pose_x;current_absolute_pose_y;current_absolute_pose_z;current_twist_vx;current_twist_vy;current_twist_vz;current_twist_wx;current_twist_wy;current_twist_wz;action_f_x;action_f_y;action_f_z;action_t_x;action_t_y;action_t_z;reward
1;0,0377;0,0017170766;-0,0021266923;-0,0070491955;0,008984638;-0,009562411;-0,019007398;0,61738455;0,12179241;0,54433674;0,0059007923;-0,00066831504;-0,00069795875;0,031755123;-0,0073273038;0,0042461343;0,2206182;0,06878313;0,023848489;0,12208317;-0,590314;-0,00640539;0,0
2;0,0776;;-0,0010089149;-0,012434586;0,005838078;-0,022750447;-0,017888542;0,6176218;0,12186119;0,54435;0,015436338;0,0034154216;0,0013301297;0,08226577;-0,016029287;0,0043176874;0,23833038;0,07894896;0,043818243;0,11522654;-0,610441;-0,0087723825;0,0
3;0,1178;-0,004095628;-0,020294068;-0,009716557;0,033249572;-0,016426092;;0,61781955;0,12194387;0,544395;0,02277849;0,006579518;0,0038230864;0,10959483;-0,02277428;0,0034397396;0,23520882;0,09181227;0,049328607;0,11521017;-0,6353109;-0,008997395;0,0
4;0,1478;-0,023948686;-0,028321255;0,007353697;0,042858392;-0,045704223;-0,11305069;0,61800474;0,121958904;0,5444289;0,026797883;0,00875357;0,0059139924;;-0,028072845;0,0030777203;0,2227057;0,100382276;0,048094694;0,11528024;-0,6337694;-0,008033985;0,0
5;0,1877;-0,008875225;-0,026644489;0,014577704;0,03211566;-0,020156581;-0,10849957;0,61831546;0,12201677;0,54437107;0,030270461;0,01151162;0,0077103516;0,12576866;-0,031421598;0,003912331;0,20227887;0,11528721;0,06054865;0,11104926;-0,61247194;-0,0049354793;0,0
6;0,2176;-0,008698971;-0,028522393;0,011080688;;-0,019866789;-0,11088494;0,6185228;0,12205786;0,5443958;0,0313385;0,013683821;0,009083908;0,12861793;-0,033343762;0,0046659824;0,19783854;0,12007229;0,060431767;0,104684964;-0,6217674;-0,0005327478;0,0
7;0,2476;-0,006405855;;0,017463248;0,053075153;-0,020664105;-0,109002955;0,6187419;0,12210805;0,54445064;0,031695776;0,015574027;0,010345252;0,12822185;-0,035461426;0,0052507757;0,1984737;0,12484424;0,060301755;0,104818836;-0,6188222;0,0013079996;0,0
8;0,2877;-0,011236;-0,034878414;0,021688208;0,049886107;-0,021469759;-0,10876947;0,61903447;0,12218828;0,5445601;;0,017531104;0,011564512;0,12709008;-0,037560966;0,005147179;0,20172353;0,12448122;0,064840704;0,09843818;-0,6529874;0,020804446;0,0
9;0,3176;-0,026135158;-0,019191923;0,020688722;0,024153264;-0,047263328;-0,10679167;0,61928993;0,12227892;0,5446033;0,032382138;0,018737111;0,012261011;0,12472018;-0,038110003;0,006363723;0,22258945;0,12149657;0,061856054;0,105331674;-0,63204956;0,033890598;0,0
10;0,3576;-0,008572868;-0,021371696;0,015183072;0,02091604;-0,017045861;-0,10729052;0,6195785;0,12243038;0,54473454;0,033617914;0,019772703;0,01298464;0,12434516;-0,039741114;0,00844049;0,22961487;0,113008626;0,06562301;0,1120745;-0,6716158;0,03469275;0,0
11;0,3875;-0,0018613052;-0,039245;0,019204859;0,059532974;-0,008303923;-0,10597326;0,6198274;0,12258817;0,54479104;0,03470634;0,01980942;0,013326051;0,12682682;-0,039559945;0,008343377;0,17554893;0,112606496;0,09218166;0,123169385;-0,6971362;0,049379718;0,0
12;0,4175;-0,027845751;-0,036481597;0,015079057;0,055323005;-0,06761602;-0,10980942;0,6200656;0,12271294;0,5448487;0,033899736;0,019763269;0,014609601;0,13255586;-0,040447067;0,0089017805;0,14552231;0,11031997;0,09724808;0,122972675;-0,7749934;0,0568873;0,0
13;0,4475;0,011880891;-0,03506066;0,027577093;0,051024385;0,021834241;-0,106882356;0,6202287;0,12282336;0,54501027;0,031583924;0,019914607;0,016002439;0,13781093;-0,040942207;0,011367478;0,13228974;0,11535201;0,09737816;0,12286092;-0,77745193;0,060456928;0,0
